HGNC symbol	Gene decription	SkinSig signature
PDGFRA	platelet derived growth factor receptor alpha	Fibroblast
PDGFRB	platelet derived growth factor receptor beta	Fibroblast
PDGFRL	platelet derived growth factor receptor like	Fibroblast
PDIA5	protein disulfide isomerase family A member 5	Fibroblast
PI16	peptidase inhibitor 16	Fibroblast
PIEZO2	piezo type mechanosensitive ion channel component 2	Fibroblast
PLAC9	placenta specific 9	Fibroblast
PLPP3	phospholipid phosphatase 3	Fibroblast
PMP22	peripheral myelin protein 22	Fibroblast
PODN	podocan	Fibroblast
PPIC	peptidylprolyl isomerase C	Fibroblast
PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	Fibroblast
PTGFR	prostaglandin F receptor	Fibroblast
RASSF2	Ras association domain family member 2	Fibroblast
RCN3	reticulocalbin 3	Fibroblast
RECK	reversion inducing cysteine rich protein with kazal motifs	Fibroblast
S100A4	S100 calcium binding protein A4	Fibroblast
S100A6	S100 calcium binding protein A6	Fibroblast
SCARA5	scavenger receptor class A member 5	Fibroblast
SERPINF1	sserpin family F member 1	Fibroblast
SFRP2	secreted frizzled-related protein 2	Fibroblast
SLC2A10	solute carrier family 2 member 10	Fibroblast
SLIT3	slit guidance ligand 3	Fibroblast
SPARC	secreted protein acidic and cysteine rich	Fibroblast
SSC5D	scavenger receptor cysteine rich family, 5 domains	Fibroblast
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	Fibroblast
THY1	Thy-1 cell surface antigen	Fibroblast
TIMP2	TIMP metallopeptidase inhibitor 2	Fibroblast
TMEM119	transmembrane protein 119	Fibroblast
TPST1	tyrosylprotein sulfotransferase 1	Fibroblast
VCAN	versican	Fibroblast
VGLL3	vestigial like family member 3	Fibroblast
WISP2	WNT1 inducible signaling pathway protein 2	Fibroblast
XPNPEP2	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	Fibroblast
ZNF469	zinc finger protein 469	Fibroblast
A2M-AS1	A2M antisense RNA 1 (head to head)	Endothelium
ADGRF5	adhesion G protein-coupled receptor F5	Endothelium
ADGRL4	adhesion G protein-coupled receptor L4	Endothelium
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	Endothelium
C10orf128	chromosome 10 open reading frame 128	Endothelium
CCM2L	CCM2 like scaffolding protein	Endothelium
CD93	CD93 molecule	Endothelium
CHN1	chimerin 1	Endothelium
CYYR1	cysteine/tyrosine-rich 1	Endothelium
EBF1	early B-cell factor 1	Endothelium
EBF3	early B-cell factor 3	Endothelium
ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	Endothelium
EPS8	epidermal growth factor receptor pathway substrate 8	Endothelium
ERG	v-ets avian erythroblastosis virus E26 oncogene homolog	Endothelium
FAM162B	family with sequence similarity 162 member B	Endothelium
FLI1	Fli-1 proto-oncogene, ETS transcription factor	Endothelium
GIMAP1	GTPase, IMAP family member 1	Endothelium
GIMAP4	GTPase, IMAP family member 4	Endothelium
GIMAP6	GTPase, IMAP family member 6	Endothelium
GNG11	G protein subunit gamma 11	Endothelium
GUCY1B3	guanylate cyclase 1, soluble, beta 3	Endothelium
ICAM2	intercellular adhesion molecule 2	Endothelium
JAM2	junctional adhesion molecule 2	Endothelium
LIN7A	lin-7 homolog A, crumbs cell polarity complex component	Endothelium
MECOM	MDS1 and EVI1 complex locus	Endothelium
MEF2C	myocyte enhancer factor 2C	Endothelium
MEOX2	mesenchyme homeobox 2	Endothelium
NR2F2	nuclear receptor subfamily 2 group F member 2	Endothelium
PLVAP	plasmalemma vesicle associated protein	Endothelium
PTPRB	protein tyrosine phosphatase, receptor type B	Endothelium
RASIP1	Ras interacting protein 1	Endothelium
ROBO4	roundabout guidance receptor 4	Endothelium
SHANK3	SH3 and multiple ankyrin repeat domains 3	Endothelium
SHE	Src homology 2 domain containing E	Endothelium
SPARCL1	SPARC like 1	Endothelium
TAL1	T-cell acute lymphocytic leukemia 1	Endothelium
TEK	TEK receptor tyrosine kinase	Endothelium
TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	Endothelium
TSPAN7	tetraspanin 7	Endothelium
VWF	von Willebrand factor	Endothelium
ACTA2	actin, alpha 2, smooth muscle, aorta	Smooth muscle
ACTG2	actin, gamma 2, smooth muscle, enteric	Smooth muscle
ALDH1A2	aldehyde dehydrogenase 1 family member A2	Smooth muscle
ALDH1B1	aldehyde dehydrogenase 1 family member B1	Smooth muscle
ASB2	ankyrin repeat and SOCS box containing 2	Smooth muscle
CARMN	cardiac mesoderm enhancer-associated non-coding RNA	Smooth muscle
CASQ2	calsequestrin 2	Smooth muscle
CFL2	cofilin 2	Smooth muscle
CNN1	calponin 1	Smooth muscle
CSRP1	cysteine and glycine rich protein 1	Smooth muscle
DACT3	dishevelled-binding antagonist of beta-catenin 3	Smooth muscle
DES	desmin	Smooth muscle
DTNA	dystrobrevin alpha	Smooth muscle
FILIP1	filamin A interacting protein 1	Smooth muscle
FLNC	filamin C	Smooth muscle
HSD17B6	hydroxysteroid (17-beta) dehydrogenase 6	Smooth muscle
ITGA8	integrin subunit alpha 8	Smooth muscle
JPH2	junctophilin 2	Smooth muscle
KCNMA1	potassium calcium-activated channel subfamily M alpha 1	Smooth muscle
KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	Smooth muscle
LMOD1	leiomodin 1	Smooth muscle
MBNL1-AS1	MBNL1 antisense RNA 1	Smooth muscle
MRVI1	murine retrovirus integration site 1 homolog	Smooth muscle
MSRB3	methionine sulfoxide reductase B3	Smooth muscle
MYH11	myosin, heavy chain 11, smooth muscle	Smooth muscle
MYL9	myosin light chain 9	Smooth muscle
MYLK	myosin light chain kinase	Smooth muscle
MYOCD	myocardin	Smooth muscle
P2RX1	purinergic receptor P2X 1	Smooth muscle
PCP4	Purkinje cell protein 4	Smooth muscle
PDLIM3	PDZ and LIM domain 3	Smooth muscle
PGM5	phosphoglucomutase 5	Smooth muscle
PLN	phospholamban	Smooth muscle
PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	Smooth muscle
PRKG1	protein kinase, cGMP-dependent, type I	Smooth muscle
PRUNE2	prune homolog 2 (Drosophila)	Smooth muscle
RAB9B	RAB9B, member RAS oncogene family	Smooth muscle
RASL12	RAS like family 12	Smooth muscle
RBPMS2	RNA binding protein with multiple splicing 2	Smooth muscle
SCUBE3	signal peptide, CUB domain and EGF like domain containing 3	Smooth muscle
SORBS2	sorbin and SH3 domain containing 2	Smooth muscle
SYNM	synemin	Smooth muscle
SYNPO2	synaptopodin 2	Smooth muscle
TAGLN	transgelin	Smooth muscle
TMOD1	tropomodulin 1	Smooth muscle
TPM1	tropomyosin 1 (alpha)	Smooth muscle
TPM2	tropomyosin 2 (beta)	Smooth muscle
WFDC1	WAP four-disulfide core domain 1	Smooth muscle
WIPF3	WAS/WASL interacting protein family member 3	Smooth muscle
ACTA1	actin, alpha 1, skeletal muscle	Skeletal muscle
ACTN2	actinin alpha 2	Skeletal muscle
ACTN3	actinin alpha 3 (gene/pseudogene)	Skeletal muscle
AMPD1	adenosine monophosphate deaminase 1	Skeletal muscle
APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	Skeletal muscle
ASB5	ankyrin repeat and SOCS box containing 5	Skeletal muscle
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	Skeletal muscle
ATP2A1-AS1	ATP2A1 antisense RNA 1	Skeletal muscle
C10orf71	chromosome 10 open reading frame 71	Skeletal muscle
CA3	carbonic anhydrase 3	Skeletal muscle
CACNA1S	calcium voltage-gated channel subunit alpha1 S	Skeletal muscle
CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	Skeletal muscle
CASQ1	calsequestrin 1	Skeletal muscle
CKM	creatine kinase, M-type	Skeletal muscle
COX6A2	cytochrome c oxidase subunit 6A2	Skeletal muscle
CSRP3	cysteine and glycine rich protein 3	Skeletal muscle
DHRS7C	dehydrogenase/reductase (SDR family) member 7C	Skeletal muscle
DUSP26	dual specificity phosphatase 26 (putative)	Skeletal muscle
ENO3	enolase 3 (beta, muscle)	Skeletal muscle
FBP2	fructose-bisphosphatase 2	Skeletal muscle
HFE2	hemochromatosis type 2 (juvenile)	Skeletal muscle
IDI2	isopentenyl-diphosphate delta isomerase 2	Skeletal muscle
JSRP1	junctional sarcoplasmic reticulum protein 1	Skeletal muscle
KLHL40	kelch like family member 40	Skeletal muscle
KLHL41	kelch like family member 41	Skeletal muscle
LMOD2	leiomodin 2	Skeletal muscle
LMOD3	leiomodin 3	Skeletal muscle
MB	myoglobin	Skeletal muscle
MIR1-1HG	MIR1-1 host gene	Skeletal muscle
MYBPC1	myosin binding protein C, slow type	Skeletal muscle
MYBPC2	myosin binding protein C, fast type	Skeletal muscle
MYH1	myosin, heavy chain 1, skeletal muscle, adult	Skeletal muscle
MYH2	myosin, heavy chain 2, skeletal muscle, adult	Skeletal muscle
MYH7	myosin, heavy chain 7, cardiac muscle, beta	Skeletal muscle
MYL1	myosin light chain 1	Skeletal muscle
MYL2	myosin light chain 2	Skeletal muscle
MYL3	myosin light chain 3	Skeletal muscle
MYLK2	myosin light chain kinase 2	Skeletal muscle
MYLPF	myosin light chain, phosphorylatable, fast skeletal muscle	Skeletal muscle
MYOT	myotilin	Skeletal muscle
MYOZ1	myozenin 1	Skeletal muscle
MYOZ2	myozenin 2	Skeletal muscle
NEB	nebulin	Skeletal muscle
NMRK2	nicotinamide riboside kinase 2	Skeletal muscle
NRAP	nebulin related anchoring protein	Skeletal muscle
PPP1R3A	protein phosphatase 1 regulatory subunit 3A	Skeletal muscle
PYGM	phosphorylase, glycogen, muscle	Skeletal muscle
RPL3L	ribosomal protein L3 like	Skeletal muscle
SLN	sarcolipin	Skeletal muscle
SMCO1	single-pass membrane protein with coiled-coil domains 1	Skeletal muscle
SMPX	small muscle protein, X-linked	Skeletal muscle
SMYD1	SET and MYND domain containing 1	Skeletal muscle
STAC3	SH3 and cysteine rich domain 3	Skeletal muscle
SYNPO2L	synaptopodin 2 like	Skeletal muscle
TCAP	titin-cap	Skeletal muscle
TMOD4	tropomodulin 4	Skeletal muscle
TNNC2	troponin C2, fast skeletal type	Skeletal muscle
TNNI1	troponin I1, slow skeletal type	Skeletal muscle
TRDN	triadin	Skeletal muscle
TRIM54	tripartite motif containing 54	Skeletal muscle
TTN	titin	Skeletal muscle
TTN-AS1	TTN antisense RNA 1	Skeletal muscle
UNC45B	unc-45 myosin chaperone B	Skeletal muscle
XIRP2	xin actin binding repeat containing 2	Skeletal muscle
ACVR1C	activin A receptor type 1C	Adipocyte
ADIPOQ	adiponectin, C1Q and collagen domain containing	Adipocyte
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	Adipocyte
AIFM2	apoptosis inducing factor, mitochondria associated 2	Adipocyte
CDO1	cysteine dioxygenase type 1	Adipocyte
CIDEC	cell death inducing DFFA like effector c	Adipocyte
FZD4	frizzled class receptor 4	Adipocyte
GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	Adipocyte
GPD1	glycerol-3-phosphate dehydrogenase 1	Adipocyte
GYG2	glycogenin 2	Adipocyte
HEPACAM	hepatic and glial cell adhesion molecule	Adipocyte
HRASLS5	HRAS like suppressor family member 5	Adipocyte
LGALS12	lectin, galactoside binding soluble 12	Adipocyte
LIPE	lipase E, hormone sensitive type	Adipocyte
LPL	lipoprotein lipase	Adipocyte
MARC1	mitochondrial amidoxime reducing component 1	Adipocyte
MRAP	melanocortin 2 receptor accessory protein	Adipocyte
NAT8L	N-acetyltransferase 8 like	Adipocyte
PCK1	phosphoenolpyruvate carboxykinase 1	Adipocyte
PDE3B	phosphodiesterase 3B	Adipocyte
PLA2G16	phospholipase A2 group XVI	Adipocyte
PLIN1	perilipin 1	Adipocyte
PLIN4	perilipin 4	Adipocyte
PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	Adipocyte
PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	Adipocyte
RBP4	retinol binding protein 4	Adipocyte
SCD	stearoyl-CoA desaturase (delta-9-desaturase)	Adipocyte
SLC19A3	solute carrier family 19 member 3	Adipocyte
TIMP4	TIMP metallopeptidase inhibitor 4	Adipocyte
TUSC5	tumor suppressor candidate 5	Adipocyte
AIF1	allograft inflammatory factor 1	Macrophage / DC
ALOX5AP	arachidonate 5-lipoxygenase activating protein	Macrophage / DC
ARRB2	arrestin beta 2	Macrophage / DC
BCAT1	branched chain amino acid transaminase 1	Macrophage / DC
C1QA	complement component 1, q subcomponent, A chain	Macrophage / DC
C1QB	complement component 1, q subcomponent, B chain	Macrophage / DC
C1QC	complement component 1, q subcomponent, C chain	Macrophage / DC
C3AR1	complement component 3a receptor 1	Macrophage / DC
CD14	CD14 molecule	Macrophage / DC
CD163	CD163 molecule	Macrophage / DC
CD209	CD209 molecule	Macrophage / DC
CD53	CD53 molecule	Macrophage / DC
CD84	CD84 molecule	Macrophage / DC
CSF1R	colony stimulating factor 1 receptor	Macrophage / DC
CTSS	cathepsin S	Macrophage / DC
CYBB	cytochrome b-245, beta polypeptide	Macrophage / DC
CYTH4	cytohesin 4	Macrophage / DC
DOCK2	dedicator of cytokinesis 2	Macrophage / DC
DOK2	docking protein 2	Macrophage / DC
F13A1	coagulation factor XIII A chain	Macrophage / DC
FCER1G	Fc fragment of IgE receptor Ig	Macrophage / DC
FCGR2A	Fc fragment of IgG receptor IIa	Macrophage / DC
FCGR2B	Fc fragment of IgG receptor IIb	Macrophage / DC
FOLR2	folate receptor 2 (fetal)	Macrophage / DC
GPR34	G protein-coupled receptor 34	Macrophage / DC
HAVCR2	hepatitis A virus cellular receptor 2	Macrophage / DC
HCK	HCK proto-oncogene, Src family tyrosine kinase	Macrophage / DC
IL10RA	interleukin 10 receptor subunit alpha	Macrophage / DC
ITGAM	integrin subunit alpha M	Macrophage / DC
ITGB2	integrin subunit beta 2	Macrophage / DC
LAIR1	leukocyte associated immunoglobulin like receptor 1	Macrophage / DC
LAPTM5	lysosomal protein transmembrane 5	Macrophage / DC
LCP2	lymphocyte cytosolic protein 2	Macrophage / DC
LILRB4	leukocyte immunoglobulin like receptor B4	Macrophage / DC
LILRB5	leukocyte immunoglobulin like receptor B5	Macrophage / DC
MARCO	macrophage receptor with collagenous structure	Macrophage / DC
MS4A14	membrane spanning 4-domains A14	Macrophage / DC
MS4A4A	membrane spanning 4-domains A4A	Macrophage / DC
MS4A6A	membrane spanning 4-domains A6A	Macrophage / DC
MS4A7	membrane spanning 4-domains A7	Macrophage / DC
MSR1	macrophage scavenger receptor 1	Macrophage / DC
NCF4	neutrophil cytosolic factor 4	Macrophage / DC
RNASE1	ribonuclease A family member 1, pancreatic	Macrophage / DC
SIGLEC1	sialic acid binding Ig like lectin 1	Macrophage / DC
SLCO2B1	solute carrier organic anion transporter family member 2B1	Macrophage / DC
THEMIS2	thymocyte selection associated family member 2	Macrophage / DC
TLR8	toll like receptor 8	Macrophage / DC
TYROBP	TYRO protein tyrosine kinase binding protein	Macrophage / DC
VSIG4	V-set and immunoglobulin domain containing 4	Macrophage / DC
CD2	CD2 molecule	T cell
CD247	CD247 molecule	T cell
CD3D	CD3d molecule	T cell
CD3G	CD3g molecule	T cell
CD48	CD48 molecule	T cell
CD8A	CD8a molecule	T cell
EOMES	eomesodermin	T cell
FYB	FYN binding protein	T cell
GZMA	granzyme A	T cell
GZMK	granzyme K	T cell
IL7R	interleukin 7 receptor	T cell
LCK	LCK proto-oncogene, Src family tyrosine kinase	T cell
PTPRC	protein tyrosine phosphatase, receptor type C	T cell
SCML4	sex comb on midleg-like 4 (Drosophila)	T cell
SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	T cell
THEMIS	thymocyte selection associated	T cell
TRAT1	T cell receptor associated transmembrane adaptor 1	T cell
BTK	Bruton tyrosine kinase	Fc?R signalling
GATA2	GATA binding protein 2	Fc?R signalling
HDC	histidine decarboxylase	Fc?R signalling
LAT2	linker for activation of T-cells family member 2	Fc?R signalling
MS4A2	membrane spanning 4-domains A2	Fc?R signalling
RGS13	regulator of G-protein signaling 13	Fc?R signalling
SIGLEC17P	sialic acid binding Ig like lectin 17, pseudogene	Fc?R signalling
IGHA1	immunoglobulin heavy constant alpha 1	Plasma cell
IGHV3-23	immunoglobulin heavy variable 3-23	Plasma cell
IGKV1-17	immunoglobulin kappa variable 1-17	Plasma cell
IGKV4-1	immunoglobulin kappa variable 4-1	Plasma cell
IGLC2	immunoglobulin lambda constant 2 (Kern-Oz- marker)	Plasma cell
JCHAIN	joining chain of multimeric IgA and IgM	Plasma cell
MZB1	marginal zone B and B1 cell specific protein	Plasma cell
CMPK2	cytidine/uridine monophosphate kinase 2	IFN
CXCL10	C-X-C motif chemokine ligand 10	IFN
CXCL11	C-X-C motif chemokine ligand 11	IFN
CXCL9	C-X-C motif chemokine ligand 9	IFN
DTX3L	deltex 3 like, E3 ubiquitin ligase	IFN
EPSTI1	epithelial stromal interaction 1 (breast)	IFN
GBP1	guanylate binding protein 1	IFN
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	IFN
IFI44	interferon induced protein 44	IFN
IFI44L	interferon induced protein 44 like	IFN
IFI6	interferon alpha inducible protein 6	IFN
IFIT3	interferon induced protein with tetratricopeptide repeats 3	IFN
ISG15	ISG15 ubiquitin-like modifier	IFN
MX1	MX dynamin like GTPase 1	IFN
OAS2	2'-5'-oligoadenylate synthetase 2	IFN
OAS3	2'-5'-oligoadenylate synthetase 3	IFN
ODF3B	outer dense fiber of sperm tails 3B	IFN
PARP14	poly(ADP-ribose) polymerase family member 14	IFN
PARP9	poly(ADP-ribose) polymerase family member 9	IFN
RSAD2	radical S-adenosyl methionine domain containing 2	IFN
STAT1	signal transducer and activator of transcription 1	IFN
XAF1	XIAP associated factor 1	IFN
ANLN	anillin actin binding protein	Cell cycle (S/M phase)
ASPM	abnormal spindle microtubule assembly	Cell cycle (S/M phase)
AURKA	aurora kinase A	Cell cycle (S/M phase)
AURKB	aurora kinase B	Cell cycle (S/M phase)
BUB1	BUB1 mitotic checkpoint serine/threonine kinase	Cell cycle (S/M phase)
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	Cell cycle (S/M phase)
CASC5	cancer susceptibility candidate 5	Cell cycle (S/M phase)
CCNA2	cyclin A2	Cell cycle (S/M phase)
CCNB1	cyclin B1	Cell cycle (S/M phase)
CCNB2	cyclin B2	Cell cycle (S/M phase)
CDC20	cell division cycle 20	Cell cycle (S/M phase)
CDCA3	cell division cycle associated 3	Cell cycle (S/M phase)
CDCA5	cell division cycle associated 5	Cell cycle (S/M phase)
CDCA8	cell division cycle associated 8	Cell cycle (S/M phase)
CDK1	cyclin-dependent kinase 1	Cell cycle (S/M phase)
CDKN3	cyclin-dependent kinase inhibitor 3	Cell cycle (S/M phase)
CENPA	centromere protein A	Cell cycle (S/M phase)
CENPE	centromere protein E	Cell cycle (S/M phase)
CENPF	centromere protein F	Cell cycle (S/M phase)
CENPK	centromere protein K	Cell cycle (S/M phase)
CENPW	centromere protein W	Cell cycle (S/M phase)
CEP55	centrosomal protein 55	Cell cycle (S/M phase)
CKS2	CDC28 protein kinase regulatory subunit 2	Cell cycle (S/M phase)
DEPDC1	DEP domain containing 1	Cell cycle (S/M phase)
DLGAP5	discs large homolog associated protein 5	Cell cycle (S/M phase)
DTL	denticleless E3 ubiquitin protein ligase homolog	Cell cycle (S/M phase)
E2F7	E2F transcription factor 7	Cell cycle (S/M phase)
ECT2	epithelial cell transforming 2	Cell cycle (S/M phase)
GINS1	GINS complex subunit 1	Cell cycle (S/M phase)
GINS2	GINS complex subunit 2	Cell cycle (S/M phase)
HELLS	helicase, lymphoid-specific	Cell cycle (S/M phase)
HMMR	hyaluronan mediated motility receptor	Cell cycle (S/M phase)
KIAA0101	KIAA0101	Cell cycle (S/M phase)
KIF11	kinesin family member 11	Cell cycle (S/M phase)
KIF14	kinesin family member 14	Cell cycle (S/M phase)
KIF18B	kinesin family member 18B	Cell cycle (S/M phase)
KIF20A	kinesin family member 20A	Cell cycle (S/M phase)
KIF23	kinesin family member 23	Cell cycle (S/M phase)
KIF2C	kinesin family member 2C	Cell cycle (S/M phase)
KIF4A	kinesin family member 4A	Cell cycle (S/M phase)
MCM2	minichromosome maintenance complex component 2	Cell cycle (S/M phase)
MELK	maternal embryonic leucine zipper kinase	Cell cycle (S/M phase)
MKI67	marker of proliferation Ki-67	Cell cycle (S/M phase)
NCAPG	non-SMC condensin I complex subunit G	Cell cycle (S/M phase)
NDC80	NDC80 kinetochore complex component	Cell cycle (S/M phase)
NEK2	NIMA related kinase 2	Cell cycle (S/M phase)
NUF2	NUF2, NDC80 kinetochore complex component	Cell cycle (S/M phase)
NUSAP1	nucleolar and spindle associated protein 1	Cell cycle (S/M phase)
OIP5	Opa interacting protein 5	Cell cycle (S/M phase)
PBK	PDZ binding kinase	Cell cycle (S/M phase)
PCNA	proliferating cell nuclear antigen	Cell cycle (S/M phase)
PRC1	protein regulator of cytokinesis 1	Cell cycle (S/M phase)
PTTG1	pituitary tumor-transforming 1	Cell cycle (S/M phase)
RACGAP1	Rac GTPase activating protein 1	Cell cycle (S/M phase)
RAD51AP1	RAD51 associated protein 1	Cell cycle (S/M phase)
RRM2	ribonucleotide reductase regulatory subunit M2	Cell cycle (S/M phase)
SPAG5	sperm associated antigen 5	Cell cycle (S/M phase)
TK1	thymidine kinase 1	Cell cycle (S/M phase)
TOP2A	topoisomerase (DNA) II alpha	Cell cycle (S/M phase)
TPX2	TPX2, microtubule-associated	Cell cycle (S/M phase)
TTK	TTK protein kinase	Cell cycle (S/M phase)
TYMS	thymidylate synthetase	Cell cycle (S/M phase)
UBE2C	ubiquitin conjugating enzyme E2 C	Cell cycle (S/M phase)
ZNF367	zinc finger protein 367	Cell cycle (S/M phase)
ZWINT	ZW10 interacting kinetochore protein	Cell cycle (S/M phase)
CIART	circadian associated repressor of transcription	Circadian clock
CRY2	cryptochrome circadian clock 2	Circadian clock
DBP	D site of albumin promoter (albumin D-box) binding protein	Circadian clock
NR1D1	nuclear receptor subfamily 1 group D member 1	Circadian clock
NR1D2	nuclear receptor subfamily 1 group D member 2	Circadian clock
PER1	period circadian clock 1	Circadian clock
PER3	period circadian clock 3	Circadian clock
TEF	thyrotrophic embryonic factor	Circadian clock
DDX3Y	DEAD-box helicase 3, Y-linked	Y-chromosome
EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	Y-chromosome
KDM5D	lysine demethylase 5D	Y-chromosome
NLGN4Y	neuroligin 4, Y-linked	Y-chromosome
PRKY	protein kinase, Y-linked, pseudogene	Y-chromosome
RNASEH2CP1	ribonuclease H2 subunit C pseudogene 1	Y-chromosome
RPS4Y1	ribosomal protein S4, Y-linked 1	Y-chromosome
TTTY14	testis-specific transcript, Y-linked 14 (non-protein coding)	Y-chromosome
TTTY15	testis-specific transcript, Y-linked 15 (non-protein coding)	Y-chromosome
TXLNGY	taxilin gamma pseudogene, Y-linked	Y-chromosome
USP9Y	ubiquitin specific peptidase 9, Y-linked	Y-chromosome
UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	Y-chromosome
ZFY	zinc finger protein, Y-linked	Y-chromosome
